title,author,timestamp,product,language,translation_of
"Within across act song","Valerie Howard MD","2020-10-01 17:59:28","ZX Spectrum","English",""
"Recognize economy campaign administration floor themselves run","Valerie Howard MD","2021-07-05 14:23:45","ZX Spectrum","German","Within across act song"
"Act call herself hear imagine Democrat","Robert Bauer","2020-10-02 02:37:18","","English",""
"Else western commercial center at appear very","Robert Bauer","2022-06-13 02:16:14","","French","Act call herself hear imagine Democrat"
"Yet impact sound table poor today tough","Robert Bauer","2022-07-03 07:08:56","","Italian","Act call herself hear imagine Democrat"
"Phone catch history left of","Dr. Vincent Mccullough","2020-05-31 05:08:58","ZX Spectrum","English",""
"Sense American write happen ok health","John Duffy","2022-09-02 07:16:36","ZX Spectrum","French",""
"If huge build TV throw","Robert Bauer","2020-07-07 18:50:23","","English",""
"Management serve office idea","Katrina Cox","2021-12-06 02:45:49","ZX Spectrum","English",""
"City we return friend we low","Katrina Cox","2022-01-13 06:46:22","ZX Spectrum","Italian","Management serve office idea"
"Fly song stay development","Katrina Cox","2022-06-11 23:20:06","ZX Spectrum","Spanish","Management serve office idea"
"Which hope ability main","David Contreras","2021-12-25 15:49:47","Commodore 64","English",""
"Boy standard build","David Contreras","2020-11-27 22:27:44","ZX Spectrum","Portuguese",""
"In else analysis decade blood","Cynthia Sharp","2020-08-04 04:49:05","","English",""
"Land hand whatever art end","David Contreras","2020-04-12 15:57:46","TRS-80 Color Computer","English",""
"Yourself cell material apply collection so relationship final","David Contreras","2022-09-30 03:23:40","TRS-80 Color Computer","Spanish","Land hand whatever art end"
"With tonight protect former whose society","David Contreras","2022-12-28 05:16:14","TRS-80 Color Computer","German","Land hand whatever art end"
"Hour evidence natural head visit dream agreement today","David Contreras","2022-12-30 00:00:55","TRS-80 Color Computer","Portuguese","Land hand whatever art end"
"Whom human gas major present","Elizabeth Keller","2020-08-04 06:31:48","BBC Micro","French",""
"Position attack have amount paper myself","Robert Aguilar","2021-10-14 06:39:19","Apple II","English",""
"Boy itself fish traditional","Taylor Castaneda","2020-05-10 13:59:32","Commodore 64","Italian",""
"Reflect new consider","Cynthia Sharp","2020-04-08 23:12:28","ZX Spectrum","French",""
"Visit oil maybe if","Taylor Castaneda","2022-12-06 04:13:24","ZX Spectrum","English",""
"Early without soldier girl than","Tammie Valdez","2022-06-19 22:11:26","ZX Spectrum","Portuguese",""
"Administration across assume movie seat under","Robert Aguilar","2022-10-26 10:40:54","TRS-80 Color Computer","Spanish",""
"Carry if professor politics floor","Robert Bauer","2020-02-24 18:35:33","TRS-80 Color Computer","English",""
"Condition nice run worry form reduce","Robert Bauer","2020-01-02 11:53:13","ZX Spectrum","English",""
"Dinner subject money concern finish","Elizabeth Keller","2022-08-06 12:18:16","Commodore 64","Portuguese",""
"Toward raise response church decade right let sister","Elizabeth Keller","2021-07-14 09:42:28","Commodore 64","German",""
"High nearly from since perform civil fire","Samantha Fernandez","2020-03-10 23:52:04","ZX Spectrum","English",""
"Series evidence leader education model west memory","Travis Rodriguez","2020-07-14 21:58:57","Amiga","Italian",""
"Either company why once statement hair employee fill","Robert Aguilar","2022-06-21 00:24:06","","English",""
"Poor its read investment culture","Robert Aguilar","2022-07-12 18:57:18","","French","Either company why once statement hair employee fill"
"Mission room event set our student","Robert Aguilar","2022-10-13 20:54:59","","German","Either company why once statement hair employee fill"
"Foot organization themselves ability face","Robert Aguilar","2022-12-09 12:44:32","","Portuguese","Either company why once statement hair employee fill"
"Reduce hope technology similar spend","Samantha Fernandez","2021-11-12 17:35:42","ZX Spectrum","English",""
